# train length : 91
[i] iter = 455000, loss = 0.0060, train_time = 8sec
[i] iter = 456000, loss = 0.0059, train_time = 8sec
[i] iter = 457000, loss = 0.0058, train_time = 8sec
[i] iter = 458000, loss = 0.0060, train_time = 8sec
[i] iter = 459000, loss = 0.0059, train_time = 8sec
[i] iter = 460000, loss = 0.0059, train_time = 8sec
[i] iter = 461000, loss = 0.0058, train_time = 10sec
[i] iter = 462000, loss = 0.0059, train_time = 8sec
[i] iter = 463000, loss = 0.0058, train_time = 9sec
[i] iter = 464000, loss = 0.0058, train_time = 8sec
[i] iter = 465000, loss = 0.0058, train_time = 8sec
[i] iter = 466000, loss = 0.0058, train_time = 9sec
[i] iter = 467000, loss = 0.0060, train_time = 8sec
[i] iter = 468000, loss = 0.0059, train_time = 8sec
[i] iter = 469000, loss = 0.0059, train_time = 9sec
[i] iter = 470000, loss = 0.0058, train_time = 8sec
[i] iter = 471000, loss = 0.0057, train_time = 9sec
[i] iter = 472000, loss = 0.0060, train_time = 8sec
[i] iter = 473000, loss = 0.0058, train_time = 9sec
[i] iter = 474000, loss = 0.0059, train_time = 8sec
[i] iter = 475000, loss = 0.0059, train_time = 8sec
[i] iter = 476000, loss = 0.0059, train_time = 8sec
[i] iter = 477000, loss = 0.0058, train_time = 9sec
[i] iter = 478000, loss = 0.0057, train_time = 9sec
[i] iter = 479000, loss = 0.0059, train_time = 8sec
[i] iter = 480000, loss = 0.0058, train_time = 9sec
[i] iter = 481000, loss = 0.0060, train_time = 9sec
[i] iter = 482000, loss = 0.0060, train_time = 9sec
[i] iter = 483000, loss = 0.0059, train_time = 8sec
[i] iter = 484000, loss = 0.0058, train_time = 8sec
[i] iter = 485000, loss = 0.0060, train_time = 8sec
[i] iter = 486000, loss = 0.0059, train_time = 9sec
[i] iter = 487000, loss = 0.0059, train_time = 8sec
[i] iter = 488000, loss = 0.0058, train_time = 8sec
[i] iter = 489000, loss = 0.0058, train_time = 9sec
[i] iter = 490000, loss = 0.0060, train_time = 8sec
[i] iter = 491000, loss = 0.0058, train_time = 9sec
[i] iter = 492000, loss = 0.0059, train_time = 9sec
[i] iter = 493000, loss = 0.0058, train_time = 8sec
[i] iter = 494000, loss = 0.0058, train_time = 8sec
[i] iter = 495000, loss = 0.0060, train_time = 8sec
[i] iter = 496000, loss = 0.0058, train_time = 9sec
[i] iter = 497000, loss = 0.0059, train_time = 8sec
[i] iter = 498000, loss = 0.0058, train_time = 8sec
